sample_path,split,label,coil,representation,quantity,panel_file,phase_mask_rule,phase_weight_rule,phase_weight_lambda,phase_weight_gamma,fourier_phase_crop,magnitude_display_transform,fft_normalization,scaling_rule,phase_range,model_input_changed
samples/pt001_slice001.npz,training,0,1,image-domain,magnitude,image_magnitude_coil1.png,not applicable,"w = clip(log1p(lambda * abs(X)) / percentile_99(log1p(lambda * abs(X))), 0, 1) ** gamma",not applicable,not applicable,not applicable,none; shared robustly scaled magnitude,not applicable,"scale_complex_by_magnitude(percentile=99.0, eps=1e-6, shared_scale=True)",not applicable,False
samples/pt001_slice001.npz,training,0,1,image-domain,phase,image_phase_coil1.png,"RSS >= 0.02 * percentile_99(RSS), as used by align_multicoil_phase",none; near-full opacity within the existing foreground support,not applicable,not applicable,not applicable,not applicable,not applicable,"scale_complex_by_magnitude(percentile=99.0, eps=1e-6, shared_scale=True)","[-pi, pi]",False
samples/pt001_slice001.npz,training,0,1,Fourier-domain,log magnitude,fourier_log_magnitude_coil1.png,not applicable,"w = clip(log1p(lambda * abs(X)) / percentile_99(log1p(lambda * abs(X))), 0, 1) ** gamma",not applicable,not applicable,not applicable,log1p(scaled magnitude); visualization only,centered orthonormal FFT (norm='ortho'),"scale_complex_by_magnitude(percentile=99.0, eps=1e-6, shared_scale=True)",not applicable,False
samples/pt001_slice001.npz,training,0,1,Fourier-domain,phase,fourier_phase_coil1.png,none; continuous magnitude weighting only,"w = clip(log1p(lambda * abs(X)) / percentile_99(log1p(lambda * abs(X))), 0, 1) ** gamma",4.0,1.5,"centered 0.50 crop; bounds=(56, 168, 56, 168)",not applicable,centered orthonormal FFT (norm='ortho'),"scale_complex_by_magnitude(percentile=99.0, eps=1e-6, shared_scale=True)","[-pi, pi]",False
samples/pt001_slice001.npz,training,0,2,image-domain,magnitude,image_magnitude_coil2.png,not applicable,"w = clip(log1p(lambda * abs(X)) / percentile_99(log1p(lambda * abs(X))), 0, 1) ** gamma",not applicable,not applicable,not applicable,none; shared robustly scaled magnitude,not applicable,"scale_complex_by_magnitude(percentile=99.0, eps=1e-6, shared_scale=True)",not applicable,False
samples/pt001_slice001.npz,training,0,2,image-domain,phase,image_phase_coil2.png,"RSS >= 0.02 * percentile_99(RSS), as used by align_multicoil_phase",none; near-full opacity within the existing foreground support,not applicable,not applicable,not applicable,not applicable,not applicable,"scale_complex_by_magnitude(percentile=99.0, eps=1e-6, shared_scale=True)","[-pi, pi]",False
samples/pt001_slice001.npz,training,0,2,Fourier-domain,log magnitude,fourier_log_magnitude_coil2.png,not applicable,"w = clip(log1p(lambda * abs(X)) / percentile_99(log1p(lambda * abs(X))), 0, 1) ** gamma",not applicable,not applicable,not applicable,log1p(scaled magnitude); visualization only,centered orthonormal FFT (norm='ortho'),"scale_complex_by_magnitude(percentile=99.0, eps=1e-6, shared_scale=True)",not applicable,False
samples/pt001_slice001.npz,training,0,2,Fourier-domain,phase,fourier_phase_coil2.png,none; continuous magnitude weighting only,"w = clip(log1p(lambda * abs(X)) / percentile_99(log1p(lambda * abs(X))), 0, 1) ** gamma",4.0,1.5,"centered 0.50 crop; bounds=(56, 168, 56, 168)",not applicable,centered orthonormal FFT (norm='ortho'),"scale_complex_by_magnitude(percentile=99.0, eps=1e-6, shared_scale=True)","[-pi, pi]",False
samples/pt001_slice001.npz,training,0,3,image-domain,magnitude,image_magnitude_coil3.png,not applicable,"w = clip(log1p(lambda * abs(X)) / percentile_99(log1p(lambda * abs(X))), 0, 1) ** gamma",not applicable,not applicable,not applicable,none; shared robustly scaled magnitude,not applicable,"scale_complex_by_magnitude(percentile=99.0, eps=1e-6, shared_scale=True)",not applicable,False
samples/pt001_slice001.npz,training,0,3,image-domain,phase,image_phase_coil3.png,"RSS >= 0.02 * percentile_99(RSS), as used by align_multicoil_phase",none; near-full opacity within the existing foreground support,not applicable,not applicable,not applicable,not applicable,not applicable,"scale_complex_by_magnitude(percentile=99.0, eps=1e-6, shared_scale=True)","[-pi, pi]",False
samples/pt001_slice001.npz,training,0,3,Fourier-domain,log magnitude,fourier_log_magnitude_coil3.png,not applicable,"w = clip(log1p(lambda * abs(X)) / percentile_99(log1p(lambda * abs(X))), 0, 1) ** gamma",not applicable,not applicable,not applicable,log1p(scaled magnitude); visualization only,centered orthonormal FFT (norm='ortho'),"scale_complex_by_magnitude(percentile=99.0, eps=1e-6, shared_scale=True)",not applicable,False
samples/pt001_slice001.npz,training,0,3,Fourier-domain,phase,fourier_phase_coil3.png,none; continuous magnitude weighting only,"w = clip(log1p(lambda * abs(X)) / percentile_99(log1p(lambda * abs(X))), 0, 1) ** gamma",4.0,1.5,"centered 0.50 crop; bounds=(56, 168, 56, 168)",not applicable,centered orthonormal FFT (norm='ortho'),"scale_complex_by_magnitude(percentile=99.0, eps=1e-6, shared_scale=True)","[-pi, pi]",False
samples/pt001_slice001.npz,training,0,4,image-domain,magnitude,image_magnitude_coil4.png,not applicable,"w = clip(log1p(lambda * abs(X)) / percentile_99(log1p(lambda * abs(X))), 0, 1) ** gamma",not applicable,not applicable,not applicable,none; shared robustly scaled magnitude,not applicable,"scale_complex_by_magnitude(percentile=99.0, eps=1e-6, shared_scale=True)",not applicable,False
samples/pt001_slice001.npz,training,0,4,image-domain,phase,image_phase_coil4.png,"RSS >= 0.02 * percentile_99(RSS), as used by align_multicoil_phase",none; near-full opacity within the existing foreground support,not applicable,not applicable,not applicable,not applicable,not applicable,"scale_complex_by_magnitude(percentile=99.0, eps=1e-6, shared_scale=True)","[-pi, pi]",False
samples/pt001_slice001.npz,training,0,4,Fourier-domain,log magnitude,fourier_log_magnitude_coil4.png,not applicable,"w = clip(log1p(lambda * abs(X)) / percentile_99(log1p(lambda * abs(X))), 0, 1) ** gamma",not applicable,not applicable,not applicable,log1p(scaled magnitude); visualization only,centered orthonormal FFT (norm='ortho'),"scale_complex_by_magnitude(percentile=99.0, eps=1e-6, shared_scale=True)",not applicable,False
samples/pt001_slice001.npz,training,0,4,Fourier-domain,phase,fourier_phase_coil4.png,none; continuous magnitude weighting only,"w = clip(log1p(lambda * abs(X)) / percentile_99(log1p(lambda * abs(X))), 0, 1) ** gamma",4.0,1.5,"centered 0.50 crop; bounds=(56, 168, 56, 168)",not applicable,centered orthonormal FFT (norm='ortho'),"scale_complex_by_magnitude(percentile=99.0, eps=1e-6, shared_scale=True)","[-pi, pi]",False
